,zone,min,max,mean,std,count
0,1,-0.12812195302862112,0.12053836421533069,0.008560912344804049,0.023987904679334992,14334
1,2,-0.2512840424523209,0.21904261401205358,0.00231784568633119,0.045304313765859874,20156
2,3,-0.49509961679577824,0.3500351748683237,-0.0038277821965123342,0.06881179896384837,26609
3,4,-0.4094878341212414,0.3778367006417478,0.006006363517453301,0.07645203285245122,18195
4,5,-0.3989063691009171,0.4742153142437793,0.015430434296830766,0.08547723990789315,14202
5,6,-0.47909540086984614,0.5836476846174763,0.02980476271201611,0.11133457301666791,14232
6,7,-1.2321988583514178,0.6866586148738862,0.05411422315783271,0.14203124685297888,10763
7,8,-0.7604714668158321,0.8263632875500305,0.10821712585597666,0.1900294141248213,10029
